question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_chat
"After beginning work, what did the man do because he was tired?",beginning work,train-00000-of-00001,A,"Question:
After beginning work, what did the man do because he was tired?

Which of the following is the best response to the question?

Choices:
A. sitting down
B. procrastination
C. getting tired
D. stress
E. relax

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
If you're about to reach a stop sign in your car what must you do?,car,train-00000-of-00001,A,"Question:
If you're about to reach a stop sign in your car what must you do?

Which of the following is the best response to the question?

Choices:
A. slow down
B. go fast
C. roll over
D. crash
E. fly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
John needed to find shade. He was being blinded by what?,shade,train-00000-of-00001,B,"Question:
John needed to find shade. He was being blinded by what?

Which of the following is the best response to the question?

Choices:
A. full sunlight
B. bright sunshine
C. sunny place
D. moonlight
E. tanning

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"Mark wanted to know the truth, because he didn't want to continue existing in what?",know,train-00000-of-00001,C,"Question:
Mark wanted to know the truth, because he didn't want to continue existing in what?

Which of the following is the best response to the question?

Choices:
A. understand
B. were there
C. ignorance
D. in-between
E. ignorant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If you're not leaving a home through the window, how would you leave?",window,train-00000-of-00001,C,"Question:
If you're not leaving a home through the window, how would you leave?

Which of the following is the best response to the question?

Choices:
A. office
B. wall
C. front door
D. wall
E. building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What happens to someone who stays in bed too long?,stay in bed,train-00000-of-00001,A,"Question:
What happens to someone who stays in bed too long?

Which of the following is the best response to the question?

Choices:
A. bedsores
B. sleep in
C. well rested
D. aren't ready when arrives
E. lay down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
John farms anemone in what type of facility?,anemone,validation-00000-of-00001,D,"Question:
John farms anemone in what type of facility?

Which of the following is the best response to the question?

Choices:
A. michigan
B. swimming pool
C. atlantic ocean
D. nursery
E. gulf of mexico

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What would you likely see a group of horses doing together?,horses,train-00000-of-00001,E,"Question:
What would you likely see a group of horses doing together?

Which of the following is the best response to the question?

Choices:
A. graze in fields
B. brown
C. put in stall
D. big but gentle
E. running in herd

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The all decided to sit down on the stools, and each order a what?",sit down,train-00000-of-00001,E,"Question:
The all decided to sit down on the stools, and each order a what?

Which of the following is the best response to the question?

Choices:
A. mindset
B. fart
C. relax
D. find seat
E. drink

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"So as not to disrupt instruction, there were always spare pencils in the what?",pencils,train-00000-of-00001,C,"Question:
So as not to disrupt instruction, there were always spare pencils in the what?

Which of the following is the best response to the question?

Choices:
A. on teachers desk
B. cabinet
C. classroom
D. backpack
E. store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"When I go to Spain, what should I try to practice first?",person,train-00000-of-00001,D,"Question:
When I go to Spain, what should I try to practice first?

Which of the following is the best response to the question?

Choices:
A. stand upright
B. courtesy
C. further education
D. speak spanish
E. cross street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What might people do to protect their legs from getting dirty on the farm?,people,train-00000-of-00001,A,"Question:
What might people do to protect their legs from getting dirty on the farm?

Which of the following is the best response to the question?

Choices:
A. wear jeans
B. milk cow
C. believe in god
D. avoid mud
E. plant flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If I am forgiving, what hidden force may be activated in my life?",forgiving,train-00000-of-00001,B,"Question:
If I am forgiving, what hidden force may be activated in my life?

Which of the following is the best response to the question?

Choices:
A. nice feeling
B. good karma
C. respect
D. new freedom
E. good heart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"Humans tend to be born two ways, these two ways are what?",humans,train-00000-of-00001,D,"Question:
Humans tend to be born two ways, these two ways are what?

Which of the following is the best response to the question?

Choices:
A. emotional
B. very adaptable
C. left or right handed
D. male or female
E. selfish

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where would you put some coffee if you do not need it immediately?,coffee,train-00000-of-00001,A,"Question:
Where would you put some coffee if you do not need it immediately?

Which of the following is the best response to the question?

Choices:
A. container
B. cryogenic pod
C. train station
D. cup
E. internet cafe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"Studying for taking final exams can be nerve wracking, especially if you're afraid of what?",taking final exams,train-00000-of-00001,C,"Question:
Studying for taking final exams can be nerve wracking, especially if you're afraid of what?

Which of the following is the best response to the question?

Choices:
A. success
B. graduation
C. failure
D. anxiety
E. studying

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
If a human is sleepy what can they do to feel more alert?,human,train-00000-of-00001,D,"Question:
If a human is sleepy what can they do to feel more alert?

Which of the following is the best response to the question?

Choices:
A. dream dreams
B. think critically
C. cross road
D. drink coffee
E. drive a car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
How can a person end up stopping standing in  puddle?,stopping standing in,train-00000-of-00001,E,"Question:
How can a person end up stopping standing in  puddle?

Which of the following is the best response to the question?

Choices:
A. move away from
B. laying in
C. sweating
D. movement
E. walking out of

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
I need a person to milk a cow would a volunteer do this?,person,train-00000-of-00001,D,"Question:
I need a person to milk a cow would a volunteer do this?

Which of the following is the best response to the question?

Choices:
A. cross street
B. milk cow
C. lose weight
D. step forward
E. need food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where do kids go that does not involve water or buying something?,kids,train-00000-of-00001,D,"Question:
Where do kids go that does not involve water or buying something?

Which of the following is the best response to the question?

Choices:
A. swimming pool
B. airport
C. amusement park
D. disneyland
E. toy store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"If you have an empty glass and are thirsty, where would you put the glass?",glass,train-00000-of-00001,D,"Question:
If you have an empty glass and are thirsty, where would you put the glass?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. table
C. dishwasher
D. water cooler
E. dining room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
When you're getting drunk and stumbling what might you be feeling?,getting drunk,train-00000-of-00001,B,"Question:
When you're getting drunk and stumbling what might you be feeling?

Which of the following is the best response to the question?

Choices:
A. stumbling
B. nausea
C. fights
D. death
E. your head hit the ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
